Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/4/2021,2021,Pitcher X,Right,4,5,Right,5,2,2,CURVEBALL,77.81698133,-10.25292785,-8.662292105,6.855334205,0.518081331,6.30555611,1.255047641,-0.749663409,2654.008568,28.35266352,0.599891603,0.309709698,0.185792247
4/4/2021,2021,Pitcher X,Right,5,1,Left,1,0,0,CUTTER,87.49598365,7.274568119,-3.518337029,6.897788443,0.773187684,6.054579608,3.095480919,1.181485862,2221.718652,174.6369176,0.016418034,0.321316183,0.00527538
4/4/2021,2021,Pitcher X,Right,5,1,Left,2,1,0,CUTTER,87.78622499,8.0292544,-3.294763579,6.858077338,0.585107121,6.163335129,1.883004991,0.385376143,2264.980847,178.5756709,0.405991554,0.11707747,0.047532464
4/4/2021,2021,Pitcher X,Right,5,1,Left,3,1,1,CHANGEUP,82.52680399,9.034034035,12.05509682,6.760980156,0.660480436,6.194049193,2.333284954,0.849400711,1223.147957,215.4164229,0.81765765,0.167959392,0.137333282
4/4/2021,2021,Pitcher X,Right,5,1,Left,4,1,2,FASTBALL,92.25527417,17.72140167,0.112095805,6.781123711,1.01763256,6.017734563,3.019334739,0.279089415,2116.128472,200.6256105,0.978168547,0.130339608,0.127494105
4/4/2021,2021,Pitcher X,Right,5,2,Right,1,0,0,CUTTER,88.82435067,8.152618845,-2.058154024,6.830430317,0.713790854,6.219125516,1.790447275,-0.444776354,2210.588021,176.3023153,0.563136637,0.169172272,0.095267104
4/4/2021,2021,Pitcher X,Right,5,2,Right,2,0,1,CUTTER,88.15708476,6.32723693,-6.26052728,6.876009304,0.665659056,6.0575602,1.850020552,0.22970447,2306.937127,168.9908744,0.735899568,0.145777375,0.107277507
4/4/2021,2021,Pitcher X,Right,5,2,Right,3,0,2,CUTTER,89.50741222,9.742467528,-1.351909882,6.911012189,0.620762163,6.036344938,1.926375117,-0.414568867,2187.91044,178.9340437,0.91787374,0.087841094,0.080627033
4/4/2021,2021,Pitcher X,Right,5,3,Left,1,0,0,CURVEBALL,75.47537556,-14.44949061,-2.60837597,6.791795896,0.728983387,6.130057062,1.546182468,1.038018133,2571.006844,19.42203814,0.062020559,0.380703777,0.023611461
4/4/2021,2021,Pitcher X,Right,5,3,Left,2,1,0,CUTTER,88.10699096,6.872395267,-5.528662116,6.932260852,0.705230036,6.063794669,3.391674598,-0.419795774,2252.340894,166.9114956,0.466682941,0.286938399,0.133909256
4/4/2021,2021,Pitcher X,Right,5,3,Left,3,1,1,CUTTER,89.29313292,7.079985882,-4.593798615,6.856955264,0.683108703,6.267194278,0.767163694,-0.060037607,2253.685838,177.9214924,0.327534258,0.838761687,0.274723187
4/4/2021,2021,Pitcher X,Right,5,3,Left,4,2,1,FASTBALL,92.19057848,19.34277405,0.502612193,6.814576621,0.646447386,6.277894336,1.992161266,-0.847003526,1623.341075,117.5001937,0.737172127,0.069157965,0.050981324
4/4/2021,2021,Pitcher X,Right,5,3,Left,5,3,1,FASTBALL,92.59932737,19.21319824,1.246603578,6.852026596,0.68927935,6.246862847,2.938526298,0.082172166,2107.425111,191.1983274,0.901903212,0.127349019,0.114856489
4/4/2021,2021,Pitcher X,Right,5,3,Left,6,3,2,FASTBALL,92.75075236,19.7884044,-1.278198244,6.847715014,0.539063232,6.224245471,2.989629879,-0.331951413,2195.086434,194.494506,0.984806716,0.078845017,0.077647102
4/4/2021,2021,Pitcher X,Right,5,4,Left,1,0,0,FASTBALL,91.71080948,19.72210681,0.764957003,6.875693347,0.738999747,6.149011521,3.535430241,0.027218378,2161.179624,192.588656,0.486377984,0.310273409,0.150910155
4/4/2021,2021,Pitcher X,Right,5,4,Left,2,1,0,FASTBALL,92.38057115,19.61172721,1.11853249,6.827978626,0.716256787,6.14549736,2.687534377,0.259623897,2160.722365,198.4482822,0.627246499,0.137654603,0.086343368
4/4/2021,2021,Pitcher X,Right,5,4,Left,3,1,1,CURVEBALL,76.69968165,-9.651070674,-11.69363751,6.823328245,0.484264115,6.075597817,1.977741941,-1.209960332,2627.726468,27.47663555,0.287645966,0.396482319,0.114046539
4/4/2021,2021,Pitcher X,Right,5,4,Left,4,2,1,CUTTER,88.54166455,7.562278365,-3.254758107,6.864129499,0.758437804,6.04099561,2.73591822,0.44431866,2296.209547,178.0726783,0.82674402,0.157611579,0.13030443
4/4/2021,2021,Pitcher X,Right,5,4,Left,5,2,2,CUTTER,89.57483601,8.515697132,-6.625067035,6.90497999,0.789654125,6.052897489,3.07896658,-0.176742616,2207.912674,177.1305257,0.973533392,0.142176688,0.138413753
4/12/2021,2021,Pitcher X,Right,1,1,Left,1,0,0,FASTBALL,92.43892908,18.78406857,5.834544734,6.87059435,0.553678862,6.001290893,1.998328923,0.327531168,2080.130359,199.089538,3.14E-01,0.088906713,2.79E-02
